Issue,Description,text
iPad Pro Bluetooth not turning on,Customer's iPad Pro 11-inch purchased in October 2021 is experiencing Bluetooth not turning on. They are located in Honolulu and have Hawaiian Telcom as their internet provider.,"###Human:
generate a detailed description prompt for iPad Pro Bluetooth not turning on

###Assistant:
Customer's iPad Pro 11-inch purchased in October 2021 is experiencing Bluetooth not turning on. They are located in Honolulu and have Hawaiian Telcom as their internet provider."
Apple TV apps disappearing from home screen,Customer's Apple TV 4K purchased in February 2022 has apps disappearing from the home screen. They reside in Milwaukee and are connected to the internet via AT&T.,"###Human:
generate a detailed description prompt for Apple TV apps disappearing from home screen

###Assistant:
Customer's Apple TV 4K purchased in February 2022 has apps disappearing from the home screen. They reside in Milwaukee and are connected to the internet via AT&T."
iTunes Store purchase authorization error,Customer's iTunes Store purchase is encountering an authorization error on their MacBook Pro 16-inch purchased in July 2023. They are located in Kansas City and use Spectrum as their internet provider.,"###Human:
generate a detailed description prompt for iTunes Store purchase authorization error

###Assistant:
Customer's iTunes Store purchase is encountering an authorization error on their MacBook Pro 16-inch purchased in July 2023. They are located in Kansas City and use Spectrum as their internet provider."
iPhone not receiving voicemails,Customer's iPhone 13 purchased in November 2023 is not receiving voicemails. They live in Los Angeles and have AT&T as their internet provider.,"###Human:
generate a detailed description prompt for iPhone not receiving voicemails

###Assistant:
Customer's iPhone 13 purchased in November 2023 is not receiving voicemails. They live in Los Angeles and have AT&T as their internet provider."
MacBook Pro keyboard keys coming off,Customer's MacBook Pro 14-inch purchased in June 2023 has keyboard keys coming off. They reside in Atlanta and have Xfinity as their internet provider.,"###Human:
generate a detailed description prompt for MacBook Pro keyboard keys coming off

###Assistant:
Customer's MacBook Pro 14-inch purchased in June 2023 has keyboard keys coming off. They reside in Atlanta and have Xfinity as their internet provider."
iPad Pro screen not turning on after sleep mode,Customer's iPad Pro 12.9-inch purchased in November 2021 is not turning on the screen after sleep mode. They are located in Portland and use Comcast as their internet provider.,"###Human:
generate a detailed description prompt for iPad Pro screen not turning on after sleep mode

###Assistant:
Customer's iPad Pro 12.9-inch purchased in November 2021 is not turning on the screen after sleep mode. They are located in Portland and use Comcast as their internet provider."
Problems with iCloud syncing between devices,"Customer is experiencing issues with iCloud syncing between their Apple devices. They own a MacBook Pro 16-inch purchased in June 2023, an iPhone 13 purchased in November 2023, and an iPad Air 4 purchased in December 2022. They are located in New York City and use Spectrum as their internet provider.","###Human:
generate a detailed description prompt for Problems with iCloud syncing between devices

###Assistant:
Customer is experiencing issues with iCloud syncing between their Apple devices. They own a MacBook Pro 16-inch purchased in June 2023, an iPhone 13 purchased in November 2023, and an iPad Air 4 purchased in December 2022. They are located in New York City and use Spectrum as their internet provider."
Battery draining rapidly on MacBook Pro,Customer reports that their MacBook Pro 14-inch purchased in November 2023 is experiencing rapid battery drain. They live in Los Angeles and are connected to the internet via AT&T.,"###Human:
generate a detailed description prompt for Battery draining rapidly on MacBook Pro

###Assistant:
Customer reports that their MacBook Pro 14-inch purchased in November 2023 is experiencing rapid battery drain. They live in Los Angeles and are connected to the internet via AT&T."
iMac keyboard keys sticking,Customer's iMac M1 purchased in August 2022 is facing issues with keyboard keys sticking intermittently. They reside in Chicago and have Xfinity as their internet provider.,"###Human:
generate a detailed description prompt for iMac keyboard keys sticking

###Assistant:
Customer's iMac M1 purchased in August 2022 is facing issues with keyboard keys sticking intermittently. They reside in Chicago and have Xfinity as their internet provider."
Unable to download apps from the Mac App Store,Customer's iMac Pro purchased in January 2022 is unable to download apps from the Mac App Store. They live in Houston and are connected to the internet via Verizon.,"###Human:
generate a detailed description prompt for Unable to download apps from the Mac App Store

###Assistant:
Customer's iMac Pro purchased in January 2022 is unable to download apps from the Mac App Store. They live in Houston and are connected to the internet via Verizon."
Apple Watch not accurately tracking sleep data,Customer's Apple Watch Series 6 purchased in October 2023 is not accurately tracking sleep data. They are located in Miami and use Cox Communications as their internet provider.,"###Human:
generate a detailed description prompt for Apple Watch not accurately tracking sleep data

###Assistant:
Customer's Apple Watch Series 6 purchased in October 2023 is not accurately tracking sleep data. They are located in Miami and use Cox Communications as their internet provider."
iCloud backup not completing on iPhone,Customer's iPhone 12 Mini purchased in April 2023 is unable to complete iCloud backups. They reside in San Francisco and have Google Fiber as their internet provider.,"###Human:
generate a detailed description prompt for iCloud backup not completing on iPhone

###Assistant:
Customer's iPhone 12 Mini purchased in April 2023 is unable to complete iCloud backups. They reside in San Francisco and have Google Fiber as their internet provider."
Unable to stream content on Apple Music,Customer is unable to stream content on their Apple Music subscription. They live in Seattle and are connected to the internet via CenturyLink.,"###Human:
generate a detailed description prompt for Unable to stream content on Apple Music

###Assistant:
Customer is unable to stream content on their Apple Music subscription. They live in Seattle and are connected to the internet via CenturyLink."
MacBook Pro screen not responding to touch,Customer's MacBook Pro screen becomes unresponsive to touch input. They reside in Boston and have Comcast as their internet provider.,"###Human:
generate a detailed description prompt for MacBook Pro screen not responding to touch

###Assistant:
Customer's MacBook Pro screen becomes unresponsive to touch input. They reside in Boston and have Comcast as their internet provider."
iMac overheating during use,Customer's iMac Pro purchased in March 2022 is overheating frequently. They live in Austin and are connected to the internet via Spectrum.,"###Human:
generate a detailed description prompt for iMac overheating during use

###Assistant:
Customer's iMac Pro purchased in March 2022 is overheating frequently. They live in Austin and are connected to the internet via Spectrum."
iPad apps crashing frequently,Customer's iPad Air 3 purchased in September 2021 is facing frequent app crashes. They are located in Denver and use AT&T as their internet provider.,"###Human:
generate a detailed description prompt for iPad apps crashing frequently

###Assistant:
Customer's iPad Air 3 purchased in September 2021 is facing frequent app crashes. They are located in Denver and use AT&T as their internet provider."
Apple Music playlist not syncing with iTunes,Customer's Apple Music playlists are not syncing with iTunes on their MacBook Pro 16-inch purchased in July 2021. They reside in Philadelphia and have Verizon Fios as their internet provider.,"###Human:
generate a detailed description prompt for Apple Music playlist not syncing with iTunes

###Assistant:
Customer's Apple Music playlists are not syncing with iTunes on their MacBook Pro 16-inch purchased in July 2021. They reside in Philadelphia and have Verizon Fios as their internet provider."
AirPods not connecting to MacBook Air,Customer's AirPods Pro purchased in August 2021 are not connecting to their MacBook Air purchased in November 2022. They live in Phoenix and are connected to the internet via Cox Communications.,"###Human:
generate a detailed description prompt for AirPods not connecting to MacBook Air

###Assistant:
Customer's AirPods Pro purchased in August 2021 are not connecting to their MacBook Air purchased in November 2022. They live in Phoenix and are connected to the internet via Cox Communications."
iTunes not recognizing iPod,Customer's iTunes on their MacBook Pro 16-inch purchased in February 2022 is not recognizing their iPod Classic purchased in September 2023. They are located in Dallas and have AT&T as their internet provider.,"###Human:
generate a detailed description prompt for iTunes not recognizing iPod

###Assistant:
Customer's iTunes on their MacBook Pro 16-inch purchased in February 2022 is not recognizing their iPod Classic purchased in September 2023. They are located in Dallas and have AT&T as their internet provider."
MacBook Air won't power on,Customer's MacBook Air 13-inch purchased in June 2023 is not turning on. They reside in Atlanta and are connected to the internet via Xfinity.,"###Human:
generate a detailed description prompt for MacBook Air won't power on

###Assistant:
Customer's MacBook Air 13-inch purchased in June 2023 is not turning on. They reside in Atlanta and are connected to the internet via Xfinity."
Safari browser crashing on Mac,Customer's Safari browser on their iMac purchased in October 2023 is crashing frequently. They live in Detroit and have Spectrum as their internet provider.,"###Human:
generate a detailed description prompt for Safari browser crashing on Mac

###Assistant:
Customer's Safari browser on their iMac purchased in October 2023 is crashing frequently. They live in Detroit and have Spectrum as their internet provider."
iCloud Drive files missing on iPhone,Customer reports missing files in their iCloud Drive on their iPhone 13 Pro Max purchased in August 2022. They are located in Minneapolis and use CenturyLink as their internet provider.,"###Human:
generate a detailed description prompt for iCloud Drive files missing on iPhone

###Assistant:
Customer reports missing files in their iCloud Drive on their iPhone 13 Pro Max purchased in August 2022. They are located in Minneapolis and use CenturyLink as their internet provider."
Apple TV remote not pairing,Customer's Apple TV HD purchased in September 2021 is experiencing issues with the remote not pairing properly. They reside in Las Vegas and are connected to the internet via Cox Communications.,"###Human:
generate a detailed description prompt for Apple TV remote not pairing

###Assistant:
Customer's Apple TV HD purchased in September 2021 is experiencing issues with the remote not pairing properly. They reside in Las Vegas and are connected to the internet via Cox Communications."
iMac camera not focusing,Customer's iMac Pro purchased in March 2020 is having trouble focusing the camera. They live in Charlotte and have AT&T as their internet provider.,"###Human:
generate a detailed description prompt for iMac camera not focusing

###Assistant:
Customer's iMac Pro purchased in March 2020 is having trouble focusing the camera. They live in Charlotte and have AT&T as their internet provider."
MacBook Pro trackpad not clicking,Customer's MacBook Pro 16-inch purchased in April 2021 is facing issues with the trackpad not clicking consistently. They reside in San Antonio and have Verizon Fios as their internet provider.,"###Human:
generate a detailed description prompt for MacBook Pro trackpad not clicking

###Assistant:
Customer's MacBook Pro 16-inch purchased in April 2021 is facing issues with the trackpad not clicking consistently. They reside in San Antonio and have Verizon Fios as their internet provider."
iPad Pro screen flickering,Customer's iPad Pro 12.9-inch purchased in November 2021 is experiencing screen flickering. They are located in Portland and use Comcast as their internet provider.,"###Human:
generate a detailed description prompt for iPad Pro screen flickering

###Assistant:
Customer's iPad Pro 12.9-inch purchased in November 2021 is experiencing screen flickering. They are located in Portland and use Comcast as their internet provider."
Apple Music not playing offline on Mac,Customer's Apple Music subscription is not allowing them to play songs offline on their Mac Mini purchased in July 2020. They live in Orlando and are connected to the internet via Spectrum.,"###Human:
generate a detailed description prompt for Apple Music not playing offline on Mac

###Assistant:
Customer's Apple Music subscription is not allowing them to play songs offline on their Mac Mini purchased in July 2020. They live in Orlando and are connected to the internet via Spectrum."
Face ID not working on iPad,Customer's Face ID on their iPad Pro 11-inch purchased in April 2022 is not working properly. They reside in Tampa and have Xfinity as their internet provider.,"###Human:
generate a detailed description prompt for Face ID not working on iPad

###Assistant:
Customer's Face ID on their iPad Pro 11-inch purchased in April 2022 is not working properly. They reside in Tampa and have Xfinity as their internet provider."
iCloud Photo Library not updating on MacBook,Customer's iCloud Photo Library on their MacBook Pro 14-inch purchased in December 2022 is not updating. They are located in Sacramento and use AT&T as their internet provider.,"###Human:
generate a detailed description prompt for iCloud Photo Library not updating on MacBook

###Assistant:
Customer's iCloud Photo Library on their MacBook Pro 14-inch purchased in December 2022 is not updating. They are located in Sacramento and use AT&T as their internet provider."
Apple Watch not receiving notifications,Customer's Apple Watch Series 5 purchased in November 2021 is not receiving notifications properly. They live in Pittsburgh and have Verizon Fios as their internet provider.,"###Human:
generate a detailed description prompt for Apple Watch not receiving notifications

###Assistant:
Customer's Apple Watch Series 5 purchased in November 2021 is not receiving notifications properly. They live in Pittsburgh and have Verizon Fios as their internet provider."
MacBook not ringing for FaceTime calls,Customer's MacBook Pro 15-inch purchased in January 2023 is not ringing for FaceTime calls. They reside in St. Louis and are connected to the internet via Comcast.,"###Human:
generate a detailed description prompt for MacBook not ringing for FaceTime calls

###Assistant:
Customer's MacBook Pro 15-inch purchased in January 2023 is not ringing for FaceTime calls. They reside in St. Louis and are connected to the internet via Comcast."
iMac screen turning black randomly,Customer's iMac 27-inch purchased in May 2022 is experiencing the screen turning black randomly. They are located in Cincinnati and use Spectrum as their internet provider.,"###Human:
generate a detailed description prompt for iMac screen turning black randomly

###Assistant:
Customer's iMac 27-inch purchased in May 2022 is experiencing the screen turning black randomly. They are located in Cincinnati and use Spectrum as their internet provider."
iPad not charging,Customer's iPad 10.2-inch purchased in October 2021 is not charging properly. They live in Honolulu and have Hawaiian Telcom as their internet provider.,"###Human:
generate a detailed description prompt for iPad not charging

###Assistant:
Customer's iPad 10.2-inch purchased in October 2021 is not charging properly. They live in Honolulu and have Hawaiian Telcom as their internet provider."
Apple TV not connecting to Bluetooth,Customer's Apple TV 4K purchased in February 2022 is unable to connect to Bluetooth devices. They reside in Milwaukee and are connected to the internet via AT&T.,"###Human:
generate a detailed description prompt for Apple TV not connecting to Bluetooth

###Assistant:
Customer's Apple TV 4K purchased in February 2022 is unable to connect to Bluetooth devices. They reside in Milwaukee and are connected to the internet via AT&T."
iTunes Store purchases not downloading on iPhone,Customer's iTunes Store purchases are not downloading on their iPhone 12 Pro Max purchased in July 2023. They are located in Kansas City and use Spectrum as their internet provider.,"###Human:
generate a detailed description prompt for iTunes Store purchases not downloading on iPhone

###Assistant:
Customer's iTunes Store purchases are not downloading on their iPhone 12 Pro Max purchased in July 2023. They are located in Kansas City and use Spectrum as their internet provider."
iPhone speaker not working during calls,Customer's iPhone XS Max purchased in March 2023 is experiencing issues with the speaker not working during calls. They live in Richmond and have Xfinity as their internet provider.,"###Human:
generate a detailed description prompt for iPhone speaker not working during calls

###Assistant:
Customer's iPhone XS Max purchased in March 2023 is experiencing issues with the speaker not working during calls. They live in Richmond and have Xfinity as their internet provider."
iMessage not syncing across devices,Customer's iMessage is not syncing across their devices. They reside in Oklahoma City and use Cox Communications as their internet provider.,"###Human:
generate a detailed description prompt for iMessage not syncing across devices

###Assistant:
Customer's iMessage is not syncing across their devices. They reside in Oklahoma City and use Cox Communications as their internet provider."
MacBook Pro fan running loudly,Customer's MacBook Pro 13-inch purchased in June 2022 is experiencing the fan running loudly. They reside in New Orleans and have Cox Communications as their internet provider.,"###Human:
generate a detailed description prompt for MacBook Pro fan running loudly

###Assistant:
Customer's MacBook Pro 13-inch purchased in June 2022 is experiencing the fan running loudly. They reside in New Orleans and have Cox Communications as their internet provider."
iPad apps freezing frequently,Customer's iPad Mini 6th Gen purchased in April 2022 is facing issues with apps freezing. They are located in Memphis and use Comcast as their internet provider.,"###Human:
generate a detailed description prompt for iPad apps freezing frequently

###Assistant:
Customer's iPad Mini 6th Gen purchased in April 2022 is facing issues with apps freezing. They are located in Memphis and use Comcast as their internet provider."
Apple Music not recognizing subscribed account,Customer's Apple Music subscription is not recognizing their account on their iPhone 11 Pro Max purchased in December 2019. They live in Louisville and have Spectrum as their internet provider.,"###Human:
generate a detailed description prompt for Apple Music not recognizing subscribed account

###Assistant:
Customer's Apple Music subscription is not recognizing their account on their iPhone 11 Pro Max purchased in December 2019. They live in Louisville and have Spectrum as their internet provider."
AirPods case not charging properly,Customer reports that their AirPods case purchased in January 2023 is not charging properly. They reside in Albuquerque and are connected to the internet via CenturyLink.,"###Human:
generate a detailed description prompt for AirPods case not charging properly

###Assistant:
Customer reports that their AirPods case purchased in January 2023 is not charging properly. They reside in Albuquerque and are connected to the internet via CenturyLink."
App Store not loading on Mac,Customer's App Store is not loading on their Mac Mini purchased in May 2021. They live in Buffalo and have Spectrum as their internet provider.,"###Human:
generate a detailed description prompt for App Store not loading on Mac

###Assistant:
Customer's App Store is not loading on their Mac Mini purchased in May 2021. They live in Buffalo and have Spectrum as their internet provider."
iPhone overheating during usage,Customer's iPhone 12 purchased in August 2022 is overheating during usage. They are located in Salt Lake City and use Comcast as their internet provider.,"###Human:
generate a detailed description prompt for iPhone overheating during usage

###Assistant:
Customer's iPhone 12 purchased in August 2022 is overheating during usage. They are located in Salt Lake City and use Comcast as their internet provider."
MacBook battery not charging past 80%,Customer's MacBook Pro 15-inch purchased in September 2021 is experiencing issues with the battery not charging past 80%. They reside in Baltimore and have Verizon Fios as their internet provider.,"###Human:
generate a detailed description prompt for MacBook battery not charging past 80%

###Assistant:
Customer's MacBook Pro 15-inch purchased in September 2021 is experiencing issues with the battery not charging past 80%. They reside in Baltimore and have Verizon Fios as their internet provider."
iPad screen unresponsive to touch,Customer's iPad Pro 12.9-inch purchased in December 2022 is experiencing the screen being unresponsive to touch input. They live in San Jose and have AT&T as their internet provider.,"###Human:
generate a detailed description prompt for iPad screen unresponsive to touch

###Assistant:
Customer's iPad Pro 12.9-inch purchased in December 2022 is experiencing the screen being unresponsive to touch input. They live in San Jose and have AT&T as their internet provider."
Apple Watch battery draining quickly,Customer's Apple Watch Series 5 purchased in November 2021 is experiencing rapid battery draining. They are located in Raleigh and use Spectrum as their internet provider.,"###Human:
generate a detailed description prompt for Apple Watch battery draining quickly

###Assistant:
Customer's Apple Watch Series 5 purchased in November 2021 is experiencing rapid battery draining. They are located in Raleigh and use Spectrum as their internet provider."
FaceTime calls dropping on iPhone,"Customer is experiencing FaceTime calls dropping on their iPhone 12 Pro Max, purchased in June 2023. They reside in New York City and use Verizon as their internet provider.","###Human:
generate a detailed description prompt for FaceTime calls dropping on iPhone

###Assistant:
Customer is experiencing FaceTime calls dropping on their iPhone 12 Pro Max, purchased in June 2023. They reside in New York City and use Verizon as their internet provider."
MacBook Pro freezing randomly,"Customer reports their MacBook Pro 13-inch, purchased in November 2022, is freezing randomly. They live in Los Angeles and are connected to the internet via Spectrum.","###Human:
generate a detailed description prompt for MacBook Pro freezing randomly

###Assistant:
Customer reports their MacBook Pro 13-inch, purchased in November 2022, is freezing randomly. They live in Los Angeles and are connected to the internet via Spectrum."
iMac display showing flickering lines,"Customer's iMac 24-inch, purchased in August 2022, is displaying flickering lines on the screen. They reside in Chicago and have Xfinity as their internet provider.","###Human:
generate a detailed description prompt for iMac display showing flickering lines

###Assistant:
Customer's iMac 24-inch, purchased in August 2022, is displaying flickering lines on the screen. They reside in Chicago and have Xfinity as their internet provider."
Unable to update macOS on MacBook Air,"Customer's MacBook Air M1, purchased in January 2022, is unable to update macOS. They live in Houston and are connected to the internet via AT&T.","###Human:
generate a detailed description prompt for Unable to update macOS on MacBook Air

###Assistant:
Customer's MacBook Air M1, purchased in January 2022, is unable to update macOS. They live in Houston and are connected to the internet via AT&T."
Apple Watch not syncing with iPhone,"Customer's Apple Watch Series 7, purchased in October 2023, is not syncing with their iPhone 13 Pro, purchased in December 2023. They are located in Miami and use Cox Communications as their internet provider.","###Human:
generate a detailed description prompt for Apple Watch not syncing with iPhone

###Assistant:
Customer's Apple Watch Series 7, purchased in October 2023, is not syncing with their iPhone 13 Pro, purchased in December 2023. They are located in Miami and use Cox Communications as their internet provider."
iCloud backup stuck on iPad,"Customer's iPad Mini 6th Gen, purchased in April 2023, is stuck during iCloud backup. They reside in San Francisco and have Google Fiber as their internet provider.","###Human:
generate a detailed description prompt for iCloud backup stuck on iPad

###Assistant:
Customer's iPad Mini 6th Gen, purchased in April 2023, is stuck during iCloud backup. They reside in San Francisco and have Google Fiber as their internet provider."
Unable to play music on Apple Music,Customer is unable to play music on their Apple Music subscription. They live in Seattle and are connected to the internet via CenturyLink.,"###Human:
generate a detailed description prompt for Unable to play music on Apple Music

###Assistant:
Customer is unable to play music on their Apple Music subscription. They live in Seattle and are connected to the internet via CenturyLink."
MacBook Air keyboard not responding,"Customer's MacBook Air M1, purchased in March 2022, is experiencing unresponsive keyboard issues. They reside in Boston and have Comcast as their internet provider.","###Human:
generate a detailed description prompt for MacBook Air keyboard not responding

###Assistant:
Customer's MacBook Air M1, purchased in March 2022, is experiencing unresponsive keyboard issues. They reside in Boston and have Comcast as their internet provider."
iMac overheating while idle,"Customer's iMac Pro, purchased in September 2021, is overheating while idle. They live in Austin and are connected to the internet via Spectrum.","###Human:
generate a detailed description prompt for iMac overheating while idle

###Assistant:
Customer's iMac Pro, purchased in September 2021, is overheating while idle. They live in Austin and are connected to the internet via Spectrum."
iPad apps crashing on launch,"Customer's iPad Pro 11-inch, purchased in September 2021, is facing app crashes on launch. They are located in Denver and use AT&T as their internet provider.","###Human:
generate a detailed description prompt for iPad apps crashing on launch

###Assistant:
Customer's iPad Pro 11-inch, purchased in September 2021, is facing app crashes on launch. They are located in Denver and use AT&T as their internet provider."
Apple Music playlist missing songs,Customer's Apple Music playlist is missing songs. They reside in Philadelphia and have Verizon Fios as their internet provider.,"###Human:
generate a detailed description prompt for Apple Music playlist missing songs

###Assistant:
Customer's Apple Music playlist is missing songs. They reside in Philadelphia and have Verizon Fios as their internet provider."
AirPods not charging in case,Customer's AirPods Pro case is not charging properly. They live in Phoenix and are connected to the internet via Cox Communications.,"###Human:
generate a detailed description prompt for AirPods not charging in case

###Assistant:
Customer's AirPods Pro case is not charging properly. They live in Phoenix and are connected to the internet via Cox Communications."
iTunes not recognizing iPad,"Customer's iTunes on their MacBook Pro 14-inch, purchased in February 2022, is not recognizing their iPad Air, purchased in September 2023. They are located in Dallas and have AT&T as their internet provider.","###Human:
generate a detailed description prompt for iTunes not recognizing iPad

###Assistant:
Customer's iTunes on their MacBook Pro 14-inch, purchased in February 2022, is not recognizing their iPad Air, purchased in September 2023. They are located in Dallas and have AT&T as their internet provider."
MacBook won't boot up,"Customer's MacBook, purchased in June 2023, won't boot up. They reside in Atlanta and are connected to the internet via Xfinity.","###Human:
generate a detailed description prompt for MacBook won't boot up

###Assistant:
Customer's MacBook, purchased in June 2023, won't boot up. They reside in Atlanta and are connected to the internet via Xfinity."
Safari browser not loading pages,"Customer's Safari browser on their iMac 27-inch, purchased in October 2023, is not loading pages. They live in Detroit and have Spectrum as their internet provider.","###Human:
generate a detailed description prompt for Safari browser not loading pages

###Assistant:
Customer's Safari browser on their iMac 27-inch, purchased in October 2023, is not loading pages. They live in Detroit and have Spectrum as their internet provider."
iCloud Drive files disappearing,"Customer reports files disappearing from their iCloud Drive on their iPhone 13 Pro Max, purchased in August 2022. They are located in Minneapolis and use CenturyLink as their internet provider.","###Human:
generate a detailed description prompt for iCloud Drive files disappearing

###Assistant:
Customer reports files disappearing from their iCloud Drive on their iPhone 13 Pro Max, purchased in August 2022. They are located in Minneapolis and use CenturyLink as their internet provider."
Apple TV remote unresponsive,"Customer's Apple TV HD, purchased in September 2021, is experiencing issues with the remote being unresponsive. They reside in Las Vegas and are connected to the internet via Cox Communications.","###Human:
generate a detailed description prompt for Apple TV remote unresponsive

###Assistant:
Customer's Apple TV HD, purchased in September 2021, is experiencing issues with the remote being unresponsive. They reside in Las Vegas and are connected to the internet via Cox Communications."
iPhone camera producing blurry photos,"Customer's iPhone XR, purchased in March 2020, is producing blurry photos. They live in Charlotte and have AT&T as their internet provider.","###Human:
generate a detailed description prompt for iPhone camera producing blurry photos

###Assistant:
Customer's iPhone XR, purchased in March 2020, is producing blurry photos. They live in Charlotte and have AT&T as their internet provider."
MacBook Pro trackpad not clicking,"Customer's MacBook Pro 16-inch, purchased in April 2021, is facing issues with the trackpad not clicking. They reside in San Antonio and have Verizon Fios as their internet provider.","###Human:
generate a detailed description prompt for MacBook Pro trackpad not clicking

###Assistant:
Customer's MacBook Pro 16-inch, purchased in April 2021, is facing issues with the trackpad not clicking. They reside in San Antonio and have Verizon Fios as their internet provider."
iPad Pro screen showing artifacts,"Customer's iPad Pro 12.9-inch, purchased in November 2021, is showing artifacts on the screen. They are located in Portland and use Comcast as their internet provider.","###Human:
generate a detailed description prompt for iPad Pro screen showing artifacts

###Assistant:
Customer's iPad Pro 12.9-inch, purchased in November 2021, is showing artifacts on the screen. They are located in Portland and use Comcast as their internet provider."
Apple Music skipping tracks,Customer's Apple Music subscription is skipping tracks. They live in Orlando and are connected to the internet via Spectrum.,"###Human:
generate a detailed description prompt for Apple Music skipping tracks

###Assistant:
Customer's Apple Music subscription is skipping tracks. They live in Orlando and are connected to the internet via Spectrum."
Face ID not recognizing on iPad,"Customer's Face ID on their iPad Pro 11-inch, purchased in April 2022, is not recognizing properly. They reside in Tampa and have Xfinity as their internet provider.","###Human:
generate a detailed description prompt for Face ID not recognizing on iPad

###Assistant:
Customer's Face ID on their iPad Pro 11-inch, purchased in April 2022, is not recognizing properly. They reside in Tampa and have Xfinity as their internet provider."
iCloud Photo Library not backing up,"Customer's iCloud Photo Library on their MacBook Pro 14-inch, purchased in December 2022, is not backing up. They are located in Sacramento and use AT&T as their internet provider.","###Human:
generate a detailed description prompt for iCloud Photo Library not backing up

###Assistant:
Customer's iCloud Photo Library on their MacBook Pro 14-inch, purchased in December 2022, is not backing up. They are located in Sacramento and use AT&T as their internet provider."
Apple Watch not receiving messages,"Customer's Apple Watch Series 5, purchased in November 2021, is not receiving messages properly. They live in Pittsburgh and have Verizon Fios as their internet provider.","###Human:
generate a detailed description prompt for Apple Watch not receiving messages

###Assistant:
Customer's Apple Watch Series 5, purchased in November 2021, is not receiving messages properly. They live in Pittsburgh and have Verizon Fios as their internet provider."
iPhone not vibrating for notifications,"Customer's iPhone 12, purchased in January 2023, is not vibrating for notifications. They reside in St. Louis and are connected to the internet via Comcast.","###Human:
generate a detailed description prompt for iPhone not vibrating for notifications

###Assistant:
Customer's iPhone 12, purchased in January 2023, is not vibrating for notifications. They reside in St. Louis and are connected to the internet via Comcast."
iMac screen turning off randomly,"Customer's iMac 27-inch, purchased in May 2022, is turning off the screen randomly. They are located in Cincinnati and use Spectrum as their internet provider.","###Human:
generate a detailed description prompt for iMac screen turning off randomly

###Assistant:
Customer's iMac 27-inch, purchased in May 2022, is turning off the screen randomly. They are located in Cincinnati and use Spectrum as their internet provider."
iPad not charging past 50%,"Customer's iPad Air 4, purchased in October 2021, is not charging past 50%. They live in Honolulu and have Hawaiian Telcom as their internet provider.","###Human:
generate a detailed description prompt for iPad not charging past 50%

###Assistant:
Customer's iPad Air 4, purchased in October 2021, is not charging past 50%. They live in Honolulu and have Hawaiian Telcom as their internet provider."
Apple TV not connecting to network,"Customer's Apple TV 4K, purchased in February 2022, is unable to connect to the network. They reside in Milwaukee and are connected to the internet via AT&T.","###Human:
generate a detailed description prompt for Apple TV not connecting to network

###Assistant:
Customer's Apple TV 4K, purchased in February 2022, is unable to connect to the network. They reside in Milwaukee and are connected to the internet via AT&T."
iTunes Store not loading purchases,"Customer's iTunes Store purchases are not loading on their iPhone 12 Pro Max, purchased in July 2023. They are located in Kansas City and use Spectrum as their internet provider.","###Human:
generate a detailed description prompt for iTunes Store not loading purchases

###Assistant:
Customer's iTunes Store purchases are not loading on their iPhone 12 Pro Max, purchased in July 2023. They are located in Kansas City and use Spectrum as their internet provider."
iPhone speaker crackling during calls,"Customer's iPhone XS Max, purchased in March 2023, is experiencing crackling from the speaker during calls. They live in Richmond and have Xfinity as their internet provider.","###Human:
generate a detailed description prompt for iPhone speaker crackling during calls

###Assistant:
Customer's iPhone XS Max, purchased in March 2023, is experiencing crackling from the speaker during calls. They live in Richmond and have Xfinity as their internet provider."
iMessage not delivering messages,Customer's iMessage is not delivering messages properly. They reside in Oklahoma City and use Cox Communications as their internet provider.,"###Human:
generate a detailed description prompt for iMessage not delivering messages

###Assistant:
Customer's iMessage is not delivering messages properly. They reside in Oklahoma City and use Cox Communications as their internet provider."
MacBook Pro fan running at max speed,"Customer's MacBook Pro 13-inch, purchased in June 2022, is experiencing the fan running at max speed. They reside in New Orleans and have Cox Communications as their internet provider.","###Human:
generate a detailed description prompt for MacBook Pro fan running at max speed

###Assistant:
Customer's MacBook Pro 13-inch, purchased in June 2022, is experiencing the fan running at max speed. They reside in New Orleans and have Cox Communications as their internet provider."
iPad apps freezing during use,"Customer's iPad Mini 6th Gen, purchased in April 2022, is facing issues with apps freezing during use. They are located in Memphis and use Comcast as their internet provider.","###Human:
generate a detailed description prompt for iPad apps freezing during use

###Assistant:
Customer's iPad Mini 6th Gen, purchased in April 2022, is facing issues with apps freezing during use. They are located in Memphis and use Comcast as their internet provider."
Apple Music not playing subscribed songs,Customer's Apple Music subscription is not playing songs subscribed. They live in Louisville and have Spectrum as their internet provider.,"###Human:
generate a detailed description prompt for Apple Music not playing subscribed songs

###Assistant:
Customer's Apple Music subscription is not playing songs subscribed. They live in Louisville and have Spectrum as their internet provider."
AirPods case not pairing with iPhone,"Customer reports that their AirPods Max case, purchased in January 2023, is not pairing with their iPhone 13 Pro Max, purchased in November 2022. They reside in Albuquerque and are connected to the internet via CenturyLink.","###Human:
generate a detailed description prompt for AirPods case not pairing with iPhone

###Assistant:
Customer reports that their AirPods Max case, purchased in January 2023, is not pairing with their iPhone 13 Pro Max, purchased in November 2022. They reside in Albuquerque and are connected to the internet via CenturyLink."
